20 10000
-228 125 0
-55 83 23
262 -74 0
239 -34 27
53 -17 13
95 -82 10
-175 8 0
120 -17 9
-73 -58 0
15 40 3
-1 -145 0
-7 179 10
-77 129 0
-19 112 0
45 -160 3
148 -140 41
120 71 9
203 -125 3
153 -67 0
72 161 10
13 21 0 1
-37 -151 4422 642
41 31 0 1115
57 50 6075 1
-234 -58 250 64
-56 -111 2008 1620
-173 107 0 75
113 -28 5053 304
-27 124 7368 747
3 -74 8601 1521
-31 -101 0 1
-82 -95 5442 1
-53 -15 8487 1575
-15 -22 0 1
3 9 7101 496
23 35 1308 1
-1 156 8565 353
18 -53 4678 1227
-138 -134 7048 1
25 -142 8185 238
-178 142 2599 2267
16 146 0 1
82 -20 12546 43
-36 2 4274 2982
-79 -153 213 1206
-21 32 4552 117
162 -162 3748 1
-208 -46 1530 1
-11 56 10788 1
207 -15 6089 1
-12 59 2851 691
68 175 0 1
35 111 5707 1174
-101 -364 7820 78
85 66 0 419
90 154 6302 1
-66 96 7587 1
3 -77 0 801
-38 0 11898 10
-44 -95 5210 1
84 41 0 480
-109 140 0 310
-26 136 0 334
204 -69 17425 1
1 49 3341 1
76 142 17926 339
-87 -11 2467 1688
-123 -19 554 1
74 -26 1086 1
-173 48 4015 317
-44 21 6515 1
-17 -160 0 993
-134 -23 937 1
-136 -69 1789 178
-144 10 5293 560
7 42 1927 1
-1 110 3903 1
129 154 0 1
0 155 5113 733
-111 -75 5191 1
255 99 8796 180
-140 7 14637 673
64 -81 0 356
-140 216 0 1096
-23 -26 3696 1
-54 -45 1218 308
214 -67 4392 887
92 113 0 1300
113 -21 15748 1
37 -98 10664 1
-59 16 7458 897
-24 -87 6777 852
232 93 6410 174
39 -128 7634 53
38 3 10142 1
-187 28 12057 1
25 -46 4519 287
8 -45 0 2069
14 120 5011 1
43 77 10474 1
45 -79 4775 344
-44 -71 134 1304
122 80 5216 1417
127 -24 4811 336
-121 -112 6939 363
16 -218 2833 1
28 -104 2828 1
77 -12 9927 1
-178 -90 0 332
-11 52 6192 102
173 -41 4093 192
22 -45 4175 1
25 -1 4207 503
142 127 8326 1
-56 -4 0 381
-56 -152 7245 798
-72 -6 6648 471
-122 -30 0 113
-114 -77 0 1797
22 5 704 1
-60 -76 792 417
-175 -26 4401 852
16 47 12846 1
-31 97 9353 2053
-48 -37 4382 1696
106 -81 3425 195
-195 4 5751 283
-12 152 10346 1193
-141 -37 0 439
137 22 4212 1
37 1 8565 119
-207 76 3544 1
68 -54 1705 1
36 -134 3986 1
98 0 4494 1
-170 28 9352 1
-81 41 8204 1460
-66 108 2973 1
51 19 1935 1
54 -108 2101 117
